,time,x,y,theta
1112,11.12,619.279,355.931,-2.04219436249
1113,11.13,617.9465,351.3335,-2.03801919373
1114,11.14,616.542,346.872,-2.03359534546
1115,11.15,615.075,342.2645,-2.02901417393
1116,11.16,613.6115,337.722,-2.02466524072
1117,11.17,612.0975,333.191,-2.02038535487
1118,11.18,610.6595,328.657,-2.01600652622
1119,11.19,609.2525,324.013,-2.01167861545
1120,11.2,607.908,319.4875,-2.00720927939
1121,11.21,606.605,314.936,-2.00258020895
1122,11.22,605.3365,310.3625,-1.99785426151
1123,11.23,604.1085,305.7985,-1.99354747038
1124,11.24,602.9295,301.2895,-1.98862656687
1125,11.25,601.698,296.676,-1.9840999824
1126,11.26,600.5385,292.2245,-1.97951717346
1127,11.27,599.3355,287.5695,-1.97491793169
1128,11.28,598.1405,283.1125,-1.97040948083
1129,11.29,596.8135,278.56,-1.96611033542
1130,11.3,595.448,274.033,-1.96174546994
1131,11.31,594.0525,269.47855,-1.95732028406
1132,11.32,592.67,265.2084,-1.9529615579
1133,11.33,591.3405,260.74005,-1.94836026848
1134,11.34,590.1265,256.27435,-1.94382825176
